#This file is the load and renewable data file.
#The first line describes the number of load intervals and renewable generators.
12,2
#Demand,Wind 1,Wind 2
259.1197968,79.69858333,59.7739375
229.1601434,78.77125,59.0784375
271.1658371,78.61525,58.9614375
400.541285,75.61916667,56.714375
447.4910594,74.67641667,56.0073125
409.2125541,76.67541667,57.5065625
376.5489944,72.34358333,54.2576875
383.6044942,65,48.75
451.2602396,61.39658333,46.0474375
498.8836067,59.88533333,44.914
461.7628118,56.52083333,42.390625
392.7907356,49.67758333,37.2581875
